# Portuguese allowed names, parsed from the official IRN list.
# Generated by tools/names-snapshot - do not edit by hand.
# generated: 2026-09-20T23:34:40.798196Z
# source: https://irn.justica.gov.pt/Portals/33/Regras%20Nome%20Proprio/Lista%20Nomes%20Pr%C3%B3prios.pdf?ver=WNDmmwiSO3uacofjmNoxEQ%3D%3D
# count: 7481
Assiyatou	F
Benicio	M
Assma	F
Benício	M
Assmaa	F
Benilson	M
Assmah	F
Benjahmim	M
Assnat	F
Benjamim	M
Assunção	F
Benjamin	M
Astrid	F
Benjamín	M
Asvi	F
Benner	M
Atena	F
Benny	M
Athena	F
Bentley	M
Atika	F
Bento	M
Audrey	F
Bernard	M
Augusta	F
Bernardim	M
Augustine	F
Bernardo	M
Aura	F
Beto	M
Aurea	F
Bhavik	M
Áurea	F
Bhavnoor	M
Àurea	F
Bhernardo	M
Aurélia	F
Bhubin	M
Aurélie	F
Bilal	M
Aurora	F
Billy	M
Ava	F
Bishes	M
Avelina	F
Blake	M
Aviva	F
Blyth	M
Avnoor	F
Bo	M
Avonlea	F
Bogdan	M
Awayhame	F
Bohdan	M
Axelle	F
Bojidar	M
Aya	F
Bóris	M
Ayaana	F
Borrico	M
Ayan	F
Borys	M
Ayana	F
Boryslav	M
Ayane	F
Bosco	M
Ayani	F
Boubacar	M
Ayanna	F
Bradley	M
Ayanne	F
Brahim	M
Ayara	F
Braian	M
Ayat	F
Braiden	M
Ayesha	F
Braima	M
Ayhane	F
Braimy	M
Ayira	F
Brainer	M
Ayla	F
Brais	M
Aylén	F
Brandão	M
Aylin	F
Brandon	M
Aylla	F
Bráulio	M
Ayllah	F
Brayan	M
Aymê	F
Brayane	M
Aynara	F
Brayn	M
Aynoah	F
Brayne	M
Ayra	F
Breno	M
Aysha	F
Brian	M
Áysha	F
Bruce	M
Aysia	F
Bruno	M
Aysla	F
Bryan	M
Ayssa	F
Bryanne	M
Ayumi	F
Bryant	M
Ayunni	F
Bubacar	M
Ayushi	F
Cademo	M
Azahara	F
Cadio	M
Azaria	F
Caeden	M
Azenath	F
Caedyn	M
Azka	F
Cael	M
Azul	F
Caelan	M
Baani	F
Caetano	M
Bailo	F
Caíco	M
Bani	F
Caiel	M
Baran	F
Cailan	M
Barbara	F
Caio	M
Bárbara	F
Caique	M
Bareeha	F
Cairo	M
Bareerah	F
Cairon	M
Basant	F
Caleb	M
Bassiratu	F
Calebe	M
Bayan	F
Calixto	M
Beatrice	F
Calvin	M
Béatrice	F
Cameron	M
Beatris	F
Camil	M
Beatrise	F
Camilo	M
Beatrix	F
Camtai	M
Beatriz	F
Cândido	M
Beatriz-Elena	F
Canfa	M
Bebiana	F
Capriano	M
Bela	F
Carlin	M
Belen	F
Carlo	M
Belén	F
Carlos	M
Beline	F
Carlosjonse	M
Belisa	F
Carmim	M
Bella	F
Cas	M
Belle	F
Casimiro	M
Belmira	F
Cassiano	M
Benedita	F
Cássio	M
Benice	F
Castiel	M
Benigna	F
Catalin	M
Bercina	F
Cauã	M
Berenice	F
Cayden	M
Berfin	F
Cayleb	M
Bernadette	F
Cayo	M
Bernardette	F
Cedric	M
Bernardina	F
Cédric	M
Berta	F
Cedrick	M
Betânia	F
Cédrick	M
Bethany	F
Cedrik	M
Betina	F
Celestino	M
Béyoncé	F
Celino	M
Bhagyasheree	F
Célio	M
Bhavini	F
Celon	M
Bhavnoor	F
Célsio	M
Bia	F
Celso	M
Biana	F
Cesar	M
Bianca	F
César	M
Biani	F
Cesário	M
Bianka	F
Césaro	M
Biatriz	F
Ceumir	M
Bibiana	F
Cezar	M
Biia	F
Chadi	M
Bilguissa	F
Chan	M
Binta	F
Charbel	M
Binto	F
Charles	M
Bintou	F
Charles-David	M
Biyu	F
Charlie	M
Blaydeti	F
Chayson	M
Blendcy	F
Chaz	M
Blessing	F
Cheihouba	M
Bohdana	F
Cheikh	M
Bourou	F
Cheikhou	M
Branca	F
Cheng	M
Breanne	F
Cheng-He	M
Brearna	F
Chengman	M
Brenda	F
Cheok	M
Briana	F
Cherif	M
Brianna	F
Cherno	M
Brighitte	F
Chester	M
Brígida	F
Chi	M
Brigite	F
Chiagoziem	M
Britney	F
Chico	M
Briza	F
Chizara	M
Bronoéalfate	F
Chon	M
Brooklyn	F
Chris	M
Bruna	F
Chrishmiel	M
Bryan	F
Chrisland	M
Bryana	F
Christ	M
Bryanna	F
Christiaan	M
Buia	F
Christian	M
Byanca	F
Christiano	M
Cadi	F
Christophe	M
Cadiatou	F
Christopher	M
Cadidjato	F
Christyan	M
Cadidjatú	F
Chrystian	M
Cadija	F
Cícero	M
Cadijá	F
Cid	M
Cadijato	F
Cidálio	M
Cadijatu	F
Cilírio	M
Caetana	F
Ciprian	M
Caia	F
Ciro	M
Caitlin	F
Cisaldo	M
Cali	F
Cizia	M
Calie	F
Clan	M
Calli	F
Claudiano	M
Callista	F
Claudino	M
Camélia	F
Claudio	M
Camila	F
Claúdio	M
Camilia	F
Cláudio	M
Camilla	F
Claudison	M
Camille	F
Clayton	M
Candice	F
Cleber	M
Cândida	F
Cléber	M
Candy	F
Cledilson	M
Caoilinn	F
Cleidilson	M
Capucine	F
Cleiton	M
Cáren	F
Clemente	M
Carina	F
Clesio	M
Carine	F
Clever	M
Carisa	F
Colin	M
Carla	F
Connor	M
Carlene	F
Constantin	M
Carlize	F
Constantino	M
Carlos	F
Cooper	M
Carlota	F
Cosmin	M
Carlotta	F
Crispim	M
Carmel	F
Cristhian	M
Carmen	F
Cristian	M
Cármen	F
Cristianno	M
Carmina	F
Cristiano	M
Cármina	F
Cristofe	M
Carminda	F
Cristopher	M
Carminho	F
Cristovão	M
Carmo	F
Cristóvão	M
Carol	F
Cruz	M
Carole	F
Curtis	M
Carolina	F
Custódio	M
Caroline	F
Daan	M
Casey	F
Dabs	M
Casimira	F
Dacouen	M
Cassandra	F
Daehan	M
Cassia	F
Dailson	M
Cássia	F
Daivik	M
Cassilda	F
Daiylon	M
Cataleia	F
Daksh	M
Cataleya	F
Dalton	M
Catalina	F
Damanpreet	M
Catalyna	F
Damian	M
Catarina	F
Damião	M
Caterina	F
Damien	M
Cathaleya	F
Damir	M
Catharina	F
Damon	M
Catherine	F
Dan	M
Cathrionna	F
Dani	M
Catia	F
Danial	M
Cátia	F
Danico	M
Catila	F
Daniel	M
Catiliana	F
Danielson	M
Catrina	F
Daniil	M
Cattleya	F
Danil	M
Catyleia	F
Danilo	M
Catyliana	F
Danilson	M
Cauaren	F
Daniyal	M
Cayari	F
Danny	M
Cayetana	F
Dannyel	M
Caylainy	F
Dante	M
Cécile	F
Dany	M
Cecilia	F
Danylo	M
Cecília	F
Daoud	M
Cecylia	F
Dárcio	M
Celeste	F
Dargy	M
Célia	F
Darian	M
Celina	F
Dariel	M
Celine	F
Dario	M
Céline	F
Dário	M
Cellen	F
Dariu	M
Celmira	F
Darius	M
Celtiane	F
Darius-Alexandru	M
Cerasela	F
Darque	M
Cereja	F
Darsh	M
Cesaltina	F
Darsheel	M
Céu	F
Daryan	M
Chanda	F
Daryo	M
Chanel	F
Dave	M
Chanell	F
Davi	M
Chantal	F
Daví	M
Chantel	F
Dávi	M
Chantell	F
David	M
Charlene	F
David-Alexandru	M
Charlie	F
Davide	M
Charlize	F
Davids	M
Charlotte	F
Davidson	M
Cheila	F
Davih	M
Cheilly	F
Davron	M
Chelsea	F
Davy	M
Chelsy	F
Dawani	M
Chen	F
Dawid	M
Cheng	F
Dawith	M
Cheok	F
Dawood	M
Cheslsy	F
Dawoud	M
Chevelle	F
Daxs	M
Chi	F
Dayan	M
Chiara	F
Dayel	M
Chimalavera	F
Daylan	M
Chin	F
Daylon	M
Chisom	F
Daymien	M
Chloe	F
Daymonds	M
Chloé	F
Dayvan	M
Chloë	F
Dean	M
Chlöe	F
Declan	M
Chreshta	F
Deep	M
Chrisângella	F
Deive	M
Christa	F
Deivid	M
Christiane	F
Deiwilson	M
Christianna	F
Delcio	M
Christianne	F
Délcio	M
Christiany	F
Delfim	M
Christina	F
Délio	M
Christine	F
Delmar	M
Ciana	F
Delme	M
Ciara	F
Delmiro	M
Ciàra	F
Delvino	M
Cibele	F
Dembo	M
Cibelle	F
Dembó	M
Cidália	F
Demetre	M
Ciline	F
Denil	M
Ciliza	F
Denilson	M
Cinara	F
Denílson	M
Cínara	F
Denilton	M
Cindy	F
Denis	M
Cinthia	F
Dénis	M
Cinthya	F
Dênis	M
Cíntia	F
Denish	M
Cintra	F
Dénix	M
Cintya	F
Dennis	M
Cirila	F
Dennys	M
Citlali	F
Dénnys	M
Claire	F
Denylson	M
Clara	F
Denys	M
CLara	F
Denzel	M
Clare	F
Deocliciano	M
Clarice	F
Deolindo	M
Clarina	F
Dércio	M
Clarinha	F
Derek	M
Clarissa	F
Derick	M
Clarisse	F
Dérick	M
Claudemira	F
Dérickson	M
Claudia	F
Derik	M
Claúdia	F
Deritson	M
Cláudia	F
Deron	M
Claudiana	F
Derrick	M
Claudine	F
Derycson	M
Cleia	F
Destiny	M
Cleide	F
Deurick	M
Cleidiane	F
Dev	M
Cleiliana	F
Deven	M
Clementine	F
Devin	M
Cleo	F
Devon	M
Cléo	F
Devran	M
Cleonice	F
Deyvan	M
Cleopatra	F
Dhairya	M
Cleópatra	F
Dhakir	M
Cloe	F
Dhanish	M
Cloé	F
Dhanraj	M
Cloë	F
Dharmik	M
Clotilde	F
Dhavid	M
Codruta	F
Dheká	M
Conceição	F
Dhevan	M
Concha	F
Dhevin	M
Constança	F
Dhir	M
Constânça	F
Dhravya	M
Constance	F
Dhrishil	M
Constância	F
Dhrumil	M
Constantina	F
Dhrushil	M
Constanza	F
Dhruv	M
Contança	F
Dhruvil	M
Cora	F
Dhven	M
Coraima	F
Dhyaan	M
CoraMae	F
Dhyan	M
Corina	F
Dhyey	M
Corine	F
Diamantino	M
Crécia	F
Dias	M
Cremilda	F
Dibo	M
Crisleidy	F
Didier	M
Crismara	F
Dieggo	M
Crissia	F
Diego	M
Cristal	F
Diégo	M
Cristela	F
Dien	M
Cristele	F
Dierson	M
Cristhieny	F
Dieudonné	M
Cristiana	F
Diinis	M
Cristiane	F
Dikafany	M
Cristielle	F
Dilan	M
Cristina	F
Dileison	M
Crizal	F
Diljot	M
Crizelle	F
Dilker	M
Crystal	F
Dillon	M
Cyara	F
Dilpreet	M
Cynthia	F
Dilraaj	M
Cyntia	F
Dilraj	M
Dadiva	F
Dimas	M
Dádiva	F
Dimitar	M
Dadivania	F
Dimitri	M
Dadivina	F
Dimitrios	M
Daenerys	F
Dimitriy	M
Dafeny	F
Dinarte	M
Dafne	F
Dinis	M
Dafny	F
Diniz	M
Dahira	F
Dinnis	M
Dahlia	F
Dino	M
Daiana	F
Diógenes	M
Daiane	F
Diogo	M
Daiany	F
Diokine	M
Daina	F
Dion	M
Dainy	F
Dione	M
Daisa	F
Dionisio	M
Daisi	F
Dionísio	M
Daisy	F
Dirceu	M
Daivania	F
Dishaant	M
Daizara	F
Dishan	M
Daizy	F
Dishi	M
Dakota	F
Divanny	M
Dalanda	F
Divij	M
Dália	F
Divyash	M
Daliana	F
Diyan	M
Dalila	F
Djaad	M
Dalinda	F
Djamal	M
Dámaris	F
Djames	M
Damarys	F
Django	M
Damiana	F
Djaniny	M
Dana	F
Djanyr	M
Danacan	F
Djassy	M
Dania	F
Djayson	M
Dânia	F
Djaz	M
Daniana	F
Djéidan	M
Daniela	F
Djeisen	M
Daniella	F
Djeison	M
Danielle	F
Djenilson	M
Danielly	F
Djenyson	M
Daniely	F
Djeridane	M
Danien	F
Djessy	M
Danika	F
Djeviny	M
Danya	F
Djeyson	M
Danyele	F
Djeyv	M
Dara	F
Djezzy	M
Daria	F
Djhonathas	M
Dária	F
Djibril	M
Dariana	F
Djinilson	M
Dáriane	F
Djiri	M
Darina	F
Djoel	M
Dariya	F
Djossane	M
Darlynn	F
Djudd	M
Darpana	F
Djuliann	M
Daryna	F
Dmitri	M
Dássia	F
Dmitrii	M
Daviany	F
Dmitro	M
Dayana	F
Dmytro	M
Dayane	F
Domingos	M
Dayanna	F
Dominic	M
Dayanne	F
Dominick	M
Daylin	F
Domínico	M
Daymara	F
Dominik	M
Dayol	F
Dominique	M
Dayra	F
Donovan	M
Dazchelin	F
Dorian	M
Debbora	F
Dorin	M
Debora	F
Douglas	M
Débora	F
Dragos	M
Deborah	F
Drav	M
Déborah	F
Drish	M
Debra	F
Duane	M
Deegbi	F
Duani	M
Deesha	F
Duarte	M
Deise	F
Duarth	M
Deisy	F
Dugério	M
Dejanira	F
Dúlio	M
Delailah	F
Dullin	M
Delia	F
Dumitru	M
Délia	F
Durval	M
Deliandra	F
Dwayne	M
Delilah	F
Dwij	M
Delimara	F
Dylan	M
Delmira	F
Dyllan	M
Dena	F
Ebenezer	M
Denilsa	F
Ebnezer	M
Denisa	F
Ebrima	M
Denise	F
Edan	M
Denitsha	F
Edder	M
Densi	F
Eddie	M
Denysa	F
Eddy	M
Denyse	F
Eden	M
Deolinda	F
Éden	M
Derysa	F
Eder	M
Desidéria	F
Éder	M
Desiree	F
Ederlindo	M
Destiny	F
Ederson	M
Deusa	F
